alpha_state;k_state;alpha_action;k_action;exploration_constant;n_iterations;keep_tree;discount;nb_robots;depth;max_steps;num_map;com_range;extent;nb_blocs;nb_steps;cov
1.0;1.0;1.0;1.0;20.0;500;false;0.85;5;100;500;-1;5;(30, 30);5.0;107;"Int8[0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 5 3 3 1 1 0 0 0 0 0 0 0 0 0 0; 2 1 1 0 0 0 0 0 0 0 0 0 0 4 5 8 10 8 7 2 0 0 0 0 0 0 0 0 0 0; 2 2 2 0 0 0 0 0 0 0 0 0 1 5 10 12 18 19 13 3 1 0 0 0 0 0 0 0 0 0; 2 3 2 2 0 0 0 0 0 0 0 0 3 7 13 17 23 25 21 0 0 0 0 0 0 0 0 0 0 0; 3 2 3 0 1 0 0 0 0 0 0 0 1 10 14 26 26 26 18 0 0 0 0 0 0 0 0 0 0 0; 4 4 3 2 1 0 0 0 0 0 0 0 1 9 19 25 28 27 24 0 0 0 0 0 0 0 0 0 0 0; 5 4 5 2 1 0 0 0 0 0 0 0 1 5 15 24 30 31 27 0 0 0 0 0 0 0 0 0 0 0; 5 5 4 5 1 0 0 0 0 0 0 0 1 7 11 18 24 27 25 0 0 0 0 0 0 0 1 1 0 0; 4 5 4 4 3 0 0 0 0 0 0 0 2 7 10 13 20 23 18 13 14 10 7 3 4 4 4 2 2 2; 4 5 5 6 3 0 0 0 0 0 0 1 4 6 9 12 14 18 14 14 15 13 5 4 4 5 6 6 4 4; 4 4 6 4 5 2 1 0 0 0 0 2 3 5 5 8 13 15 13 12 12 10 9 6 6 5 5 5 7 4; 3 4 5 6 5 3 0 0 0 0 1 2 3 3 3 5 7 7 10 11 7 7 6 6 4 6 6 8 5 5; 3 5 5 4 6 3 1 0 0 0 0 1 3 3 3 4 2 2 7 5 6 6 5 3 3 3 7 7 6 5; 2 4 4 5 5 5 1 0 0 0 0 1 2 2 3 2 1 0 1 4 3 2 3 1 2 4 4 5 5 3; 2 3 5 4 4 4 4 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 4 3 4 4 4 2; 1 3 3 5 4 4 3 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 4 4 4 2 3; 0 1 4 4 6 4 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 4 4 4 3 2 1; 0 0 2 7 5 5 4 3 1 1 0 0 0 0 0 0 0 0 0 0 0 4 3 4 4 4 3 4 1 0; 0 1 3 5 6 4 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 4 3 4 1 0 0; 0 3 3 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 3 4 1 0 0 0; 1 3 4 5 4 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 4 4 3 4 1 0 0 0 0; 1 4 5 5 5 0 0 0 0 0 0 0 1 3 3 4 5 6 5 4 4 4 3 4 1 0 0 0 0 0; 1 5 5 4 7 0 0 0 0 0 0 0 4 4 5 5 5 4 5 5 5 4 4 1 0 0 0 0 0 0; 1 4 5 5 5 0 0 0 0 0 0 0 3 4 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 3 4 5 4 0 0 0 0 0 0 0 3 4 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 3 3 5 3 0 0 0 0 0 0 0 3 4 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 3 5 5 5 4 5 6 5 4 5 5 4 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 1 3 3 4 5 5 5 5 5 4 3 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 1 3 3 4 5 5 5 4 3 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;1.0;1.0;20.0;500;false;0.85;5;100;500;-1;5;(30, 30);5.0;107;"Int8[0 1 1 1 0 0 0 0 0 0 0 1 3 3 3 4 5 4 4 5 5 5 5 5 4 3 3 1 0 0; 2 2 1 2 1 0 0 0 0 0 1 2 3 5 5 6 6 6 4 4 4 6 6 6 5 4 4 2 1 0; 2 3 4 2 3 0 0 0 0 0 0 4 5 4 7 5 6 5 7 6 7 5 5 4 4 4 6 4 3 0; 0 4 3 4 3 0 0 0 0 0 0 3 4 7 7 9 5 5 5 0 0 0 0 0 0 0 4 4 3 1; 1 3 5 4 3 0 0 0 0 0 0 3 5 6 8 8 8 4 3 0 0 0 0 0 0 0 4 5 4 1; 1 4 3 4 3 0 0 0 0 0 0 3 3 5 6 6 4 6 2 0 0 0 0 0 0 0 4 5 5 1; 3 3 4 3 2 0 0 0 0 0 0 1 4 3 4 4 5 3 4 0 0 0 0 0 0 0 5 5 4 1; 4 4 3 3 0 0 0 0 0 0 0 0 1 4 3 4 4 4 3 0 0 0 0 0 0 0 5 6 4 1; 5 4 2 2 1 0 0 0 0 0 0 0 0 1 4 3 4 4 4 3 4 1 1 1 2 3 6 5 6 1; 4 5 4 3 0 0 0 0 0 0 0 0 0 0 1 4 3 4 4 4 3 4 1 2 3 4 5 5 5 3; 6 4 3 4 2 0 0 0 0 0 0 0 0 0 0 1 4 3 4 4 4 3 4 2 3 3 6 4 4 4; 4 5 3 3 4 1 0 0 0 0 0 0 0 0 0 0 1 4 3 4 4 4 3 4 2 4 4 5 5 4; 4 4 3 2 3 4 1 0 0 0 0 0 0 0 0 0 0 1 4 3 4 4 4 3 4 3 5 5 5 5; 3 4 3 4 3 3 4 2 0 0 0 0 0 0 0 0 0 0 1 4 3 4 4 4 3 4 6 7 5 4; 1 3 2 2 4 3 3 4 3 1 0 0 0 0 0 0 0 0 0 0 0 3 4 4 5 5 7 7 5 5; 0 1 2 2 2 3 4 4 4 3 2 1 0 0 0 0 0 0 0 0 0 4 4 6 4 7 8 7 5 5; 0 0 1 2 3 2 4 4 5 6 5 3 3 1 0 0 0 0 0 0 0 2 7 5 7 7 8 6 6 5; 0 0 0 1 1 3 2 5 4 5 5 5 3 3 2 0 0 0 0 0 0 4 4 6 6 8 9 6 6 4; 0 0 0 0 1 0 3 4 6 4 3 4 6 5 6 0 0 0 0 0 0 3 4 5 7 8 7 7 6 4; 0 0 0 0 0 0 0 0 0 0 0 0 5 8 6 0 0 0 0 0 0 3 4 4 6 9 7 5 5 3; 0 0 0 0 0 0 0 0 0 0 0 0 6 9 9 0 0 0 0 0 0 3 4 4 7 7 4 6 5 3; 0 0 0 0 0 0 0 0 0 0 0 0 8 11 12 12 11 11 7 4 5 5 4 5 5 5 7 4 4 2; 0 0 0 0 0 0 0 0 0 0 0 0 8 12 13 14 12 9 7 6 4 3 3 3 4 6 4 6 4 2; 0 0 0 0 0 0 0 0 0 0 0 0 5 11 15 13 0 0 0 0 0 0 0 0 4 4 7 5 4 1; 0 0 0 0 0 0 0 0 0 0 0 0 3 7 11 9 0 0 0 0 0 0 0 0 5 6 4 6 3 1; 0 0 0 0 0 0 0 0 0 0 0 0 3 6 7 8 0 0 0 0 0 0 0 0 6 4 6 5 3 0; 0 0 0 0 0 0 0 0 0 0 0 0 2 7 6 8 0 0 0 0 0 0 0 0 5 6 4 4 2 1; 0 0 0 0 0 0 0 0 0 0 0 1 3 5 6 6 0 0 0 0 0 0 0 0 4 4 5 3 2 0; 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 4 0 0 0 0 0 0 0 0 3 5 3 3 1 0; 0 0 0 0 0 0 0 0 0 0 0 0 1 3 5 5 5 4 5 6 6 5 4 5 5 4 4 1 0 0]"
1.0;1.0;1.0;1.0;20.0;500;false;0.85;5;100;500;-1;5;(30, 30);5.0;107;"Int8[0 2 3 4 5 5 5 5 5 5 4 3 3 2 3 6 11 12 17 27 30 31 26 29 20 13 0 0 0 0; 1 3 4 5 5 6 5 6 5 4 5 5 4 8 8 8 6 11 16 25 34 33 29 26 19 6 3 0 0 0; 1 1 3 3 4 0 0 0 0 0 0 3 5 5 9 8 8 12 18 23 33 31 30 26 20 5 1 0 0 0; 0 0 2 4 3 0 0 0 0 0 0 3 5 6 7 11 10 11 11 0 0 0 0 0 0 0 0 0 0 0; 0 0 1 1 2 0 0 0 0 0 0 3 4 6 6 8 12 9 5 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 1 0 0 0 0 0 0 0 4 3 5 8 11 9 10 6 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 1 4 3 7 10 10 7 10 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 1 5 4 8 9 9 9 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 6 9 10 10 9 11 5 3 3 1 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 7 7 10 9 11 9 9 5 2 1 1 1 1 1 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9 7 9 8 9 7 7 4 4 4 4 2 2 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 9 7 8 7 8 7 8 5 5 4 5 2 1; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 8 7 8 8 9 8 9 6 4 4 5 4; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 4 6 6 7 6 8 7 5 6 4; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 5 8 6 9 8 8 5; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 5 4 7 6 8 5 6; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 5 5 5 8 7 5 7; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 5 4 6 8 10 5 7; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 5 4 8 9 11 5; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 5 7 9 10 8; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 7 9 11 8; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 6 10 9 11; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 10 10 11; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 11 10 11; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 10 11 9; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 8 8 8; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 6 6 6; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 5; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]"
1.0;1.0;1.0;1.0;20.0;500;false;0.85;5;100;500;-1;5;(30, 30);5.0;107;"Int8[1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 5 8 8 10 11 11 10 13 14 21 13 11 8; 2 2 1 0 0 0 0 0 0 0 0 0 0 1 2 4 5 8 8 9 10 10 10 13 19 24 25 26 22 16; 4 2 2 1 0 0 0 0 0 0 0 0 0 3 5 5 8 10 10 11 9 10 12 12 12 27 37 33 32 19; 5 4 3 2 0 0 0 0 0 0 0 0 2 4 5 7 8 10 8 0 0 0 0 0 0 0 27 33 30 22; 5 5 5 1 1 0 0 0 0 0 0 1 4 5 9 7 8 7 7 0 0 0 0 0 0 0 28 28 27 16; 5 5 4 1 0 0 0 0 0 0 0 3 4 10 7 8 6 6 4 0 0 0 0 0 0 0 22 28 27 18; 4 5 3 3 1 0 0 0 0 0 0 4 8 7 10 9 7 4 4 0 0 0 0 0 0 0 20 20 18 10; 5 5 6 3 2 0 0 0 0 0 0 7 7 9 9 11 5 4 1 0 0 0 0 0 0 0 11 13 9 4; 6 4 5 4 2 0 0 0 0 0 0 6 8 8 10 7 8 2 0 0 0 1 4 3 3 3 8 3 5 0; 4 3 4 6 4 0 0 0 0 0 0 7 7 9 7 9 4 3 1 0 1 4 3 4 4 4 4 3 1 0; 4 4 4 5 5 2 0 1 4 3 4 5 8 7 9 7 5 4 3 2 4 4 5 4 4 3 4 1 0 0; 1 2 4 5 4 4 2 4 3 4 4 4 4 11 9 8 8 9 6 8 7 7 7 6 4 4 1 0 0 0; 2 2 3 4 5 4 7 4 4 4 4 3 6 6 8 7 9 9 8 6 8 7 7 6 6 1 0 0 0 0; 1 2 3 2 4 6 5 6 4 4 3 4 4 5 7 7 7 8 8 7 8 7 6 7 4 1 0 0 0 0; 0 1 2 2 3 4 5 4 5 3 4 2 1 4 3 0 0 0 0 0 0 5 5 4 2 1 0 0 0 0; 0 0 1 2 2 2 4 4 3 4 1 0 1 3 1 0 0 0 0 0 0 4 4 3 2 0 0 0 0 0; 0 0 0 1 1 2 1 2 3 1 0 0 1 1 1 0 0 0 0 0 0 2 2 1 1 0 0 0 0 0; 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;1.0;1.0;20.0;500;false;0.85;5;100;500;-1;5;(30, 30);5.0;107;"Int8[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 2 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 2 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 2 2 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 3 3 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 4 4 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 3 4 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 3 3 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 3 4 4 4 3 3 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 1 4 3 4 4 4 3 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 2 0 2 5 4 4 4 4 3 4 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 3 6 5 4 7 6 5 4 4 3 5 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 6 7 8 6 5 7 6 5 4 4 5 6 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 6 6 10 7 8 6 7 9 7 5 5 7 6 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 8 8 12 11 11 7 8 9 7 6 8 9 7 7 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0; 8 10 11 12 13 10 10 6 6 7 7 10 10 8 9 0 0 0 0 0 0 2 1 2 1 0 0 0 0 0; 7 10 9 12 12 10 5 5 5 5 7 9 10 10 9 0 0 0 0 0 0 3 3 3 3 1 0 0 0 0; 6 8 9 9 6 0 0 0 0 0 0 0 8 10 10 0 0 0 0 0 0 3 4 4 3 4 1 0 0 0; 7 7 9 9 7 0 0 0 0 0 0 0 8 11 8 0 0 0 0 0 0 3 5 4 5 3 4 1 0 0; 5 10 11 8 6 0 0 0 0 0 0 0 8 11 10 8 6 5 5 4 5 7 6 6 4 5 3 3 1 0; 5 11 11 7 7 0 0 0 0 0 0 0 7 9 7 8 6 6 5 5 4 4 6 5 5 5 4 3 2 0; 5 10 11 9 5 0 0 0 0 0 0 0 7 6 8 8 0 0 0 0 0 0 0 0 5 5 5 4 1 1; 7 8 11 9 8 0 0 0 0 0 0 0 7 6 6 5 0 0 0 0 0 0 0 0 6 5 5 5 3 0; 6 8 10 11 9 0 0 0 0 0 0 0 10 8 6 4 0 0 0 0 0 0 0 0 6 5 5 5 3 0; 6 6 9 11 10 11 10 7 9 11 12 12 10 9 5 4 0 0 0 0 0 0 0 0 5 5 5 4 1 1; 3 6 6 10 9 12 11 12 11 11 9 10 8 10 6 4 0 0 0 0 0 0 0 0 4 5 4 3 2 0; 2 5 5 7 10 9 11 11 10 9 10 9 10 9 6 3 0 0 0 0 0 0 0 0 3 5 3 3 1 0; 1 1 5 6 5 5 6 6 8 9 7 6 7 7 5 5 5 4 5 6 6 5 4 5 5 4 4 1 0 0]"
