alpha_state;k_state;alpha_action;k_action;exploration_constant;n_iterations;keep_tree;discount;nb_robots;depth;max_steps;num_map;extent;nb_blocs;begin_zone;nb_steps;cov
1.0;1.0;1.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;143;"Int8[54 55 42 41 31 15 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 75 84 69 49 26 13 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 90 92 76 38 22 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 79 81 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 86 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 82 85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 65 68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 47 58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 39 40 25 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 23 22 16 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 14 11 9 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 9 6 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;1.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;143;"Int8[0 0 3 3 3 3 6 6 7 4 3 4 3 4 4 5 4 4 4 2 2 1 0 0 0 0 0 0 0 0; 0 1 1 2 2 4 4 6 4 6 5 5 5 7 6 6 5 6 5 5 4 2 2 1 0 0 0 0 0 0; 0 0 1 2 1 5 7 6 4 5 5 7 6 7 6 6 7 6 7 4 6 6 5 2 3 1 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 5 4 6 5 7 6 7 7 6 6 5 7 6 5 4 2 1 0 0 0; 0 0 0 0 0 0 0 0 0 0 3 5 5 6 5 5 6 6 5 7 6 6 6 5 4 5 3 0 0 0; 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 5 5 7 6 6 4 3 2 0 0; 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 5 7 8 5 5 4 2 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 8 7 5 4 4 1 1 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 6 5 4 3 2 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 4 7 4 3 1 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 4 6 5 6 2 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 6 4 6 4 2 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 5 6 4 3 1 1 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 6 4 4 3 2 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 7 6 3 4 2 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 8 7 7 8 3 2 3 1 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 9 9 10 7 5 4 3 3 1; 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 7 5 7 9 11 11 12 7 5 5 4 4 5 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 5 4 9 9 11 10 13 10 6 5 5 7 5 4 4; 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 4 6 9 12 9 10 9 7 8 6 6 6 6 4 5; 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 6 9 11 13 9 7 9 5 6 6 5 5 5 5; 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 4 6 9 9 11 7 6 6 4 3 5 6 6 4; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 8 11 11 10 6 5 3 6 6 6 4; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 11 12 14 10 6 5 6 5 7 5 5; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 15 17 16 11 8 8 11 11 9 7 6; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 16 19 18 13 14 17 18 17 17 12 9; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 20 25 22 22 19 20 20 23 19 16 11; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 37 28 24 21 21 19 24 22 20 17 13; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 34 23 22 21 18 19 20 23 20 17 9; 0 0 0 0 0 0 0 0 0 0 0 0 8 10 21 13 20 17 36 32 28 13 16 18 17 20 19 17 13 10]"
1.0;1.0;1.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;143;"Int8[0 0 2 4 5 4 8 15 34 40 50 48 50 39 25 10 4 3 1 0 0 0 1 2 5 5 4 3 3 1; 0 1 3 5 5 6 6 14 36 50 58 62 59 47 30 11 4 5 4 2 1 0 4 7 6 8 7 5 4 4; 0 0 2 4 4 5 7 10 25 49 58 73 68 53 33 22 10 6 6 6 4 4 6 8 9 10 10 8 4 4; 0 0 0 0 0 0 0 0 0 0 46 54 56 39 29 19 12 5 7 6 6 8 8 10 8 10 10 11 6 4; 0 0 0 0 0 0 0 0 0 0 34 41 40 20 19 18 14 9 5 6 7 9 13 12 9 8 12 9 7 4; 0 0 0 0 0 0 0 0 0 0 20 16 0 0 0 0 0 0 0 0 7 12 11 14 14 11 9 10 5 4; 0 0 0 0 0 0 0 0 0 0 10 6 0 0 0 0 0 0 0 0 11 12 14 12 13 14 9 7 5 5; 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 12 11 13 11 12 13 11 6 5 5; 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 7 13 13 12 10 11 9 9 5 4; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 11 12 13 9 9 8 7 9 4; 0 0 0 0 0 0 0 0 0 0 0 0 3 6 8 8 12 13 12 10 9 8 9 8 6 8 8 8 5 5; 0 0 0 0 0 0 0 0 0 0 0 0 1 5 9 10 11 12 12 10 9 6 2 2 7 5 6 7 5 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 0 0 1 5 4 4 3 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 3 2; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 2 2; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;1.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;143;"Int8[37 46 53 63 85 83 83 72 77 54 30 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 38 44 55 69 81 94 85 82 67 56 22 14 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 32 45 51 70 82 94 90 77 72 51 26 9 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 29 34 0 0 0 0 0 0 0 0 13 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 21 17 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;1.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;143;"Int8[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 4 5 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 4 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 4 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 6 8 6 6 5 6 6 6 5 4 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 7 10 11 10 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 13 14 14 12 0 0 0 0 0 0 0 4 5 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 18 16 20 14 0 0 0 0 0 0 0 5 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 19 23 22 18 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 17 25 25 23 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 16 25 23 18 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 16 18 21 14 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 11 14 15 14 16 15 18 18 22 26 30 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 4 7 11 13 12 17 18 23 32 42 36 28 21 16 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 4 8 8 11 15 21 26 40 46 44 33 24 16 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 4 6 6 6 10 15 24 26 38 36 31 23 19 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 4 5 5 7 9 15 17 20 25 27 27 22 12 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 4 4 7 9 8 10 16 20 23 23 22 13 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 4 5 9 10 9 7 13 17 18 19 15 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 6 9 8 9 7 10 8 11 12 10 8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 10 13 10 8 9 8 10 8 6 6 7 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 8 11 15 14 12 8 8 8 8 5 8 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 7 10 12 15 12 10 5 5 6 11 9 9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 9 10 8 9 13 9 5 4 6 11 11 9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 9 9 9 8 7 6 4 5 5 6 8 8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 7 7 6 5 3 4 3 5 5 7 5 7 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
