alpha_state;k_state;alpha_action;k_action;exploration_constant;n_iterations;keep_tree;discount;nb_robots;depth;max_steps;num_map;com_range;extent;nb_blocs;nb_steps;cov
1.0;1.0;1.0;1.0;1.0;500;false;0.85;5;100;500;-1;5;(30, 30);5.0;157;"Int8[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1; 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2; 1 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 3; 1 2 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 6 8 6; 2 3 3 4 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 9 13 11 12; 2 4 4 5 4 5 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 13 17 16 16; 3 4 5 5 6 5 4 4 4 2 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 15 23 24 14 14; 2 5 4 4 5 6 6 6 5 5 4 3 3 1 0 0 0 1 3 5 8 10 13 15 19 23 31 30 27 16; 0 2 5 5 5 5 5 6 6 5 4 4 4 4 1 0 2 4 5 10 13 16 16 19 25 33 35 38 28 22; 0 1 2 4 5 6 5 4 5 5 6 5 4 4 5 4 5 7 11 12 15 15 15 21 30 32 31 31 32 23; 0 0 0 2 3 3 4 5 5 6 5 6 5 6 8 10 8 11 11 13 16 17 15 21 28 31 26 24 23 22; 0 0 0 0 0 0 0 2 2 4 5 4 6 8 10 10 10 10 11 12 16 16 15 0 0 0 0 0 0 9; 0 0 0 0 0 0 0 1 1 0 2 5 6 8 9 10 12 12 9 9 10 11 7 0 0 0 0 0 0 4; 0 0 0 0 0 0 0 0 0 0 0 3 6 7 9 10 10 12 9 6 5 3 3 0 0 0 0 0 0 6; 0 0 0 0 0 0 0 0 0 0 0 1 4 7 8 8 10 10 9 6 5 5 2 0 0 0 0 0 0 7; 0 0 0 0 0 0 0 0 0 0 0 0 1 5 5 6 6 6 6 7 5 5 3 0 0 0 0 0 0 7; 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 5 5 5 5 5 5 4 0 0 0 0 0 0 5; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 4 5 5 6 6 5 4 4 5 5 6 5 7; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 4 5 5 5 6 5 5 5 6 8 7 6; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 7 8 10 7 7; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 5 10 11 9 5; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 7 9 12 9 6; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 1 0 0 0 0 0 0 8 12 11 8 5; 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 4 4 2 0 0 0 0 0 0 12 10 11 9 4; 0 0 0 0 0 0 0 0 0 0 0 1 3 5 8 9 7 7 5 0 0 0 0 0 0 9 10 9 8 4; 0 0 0 0 0 0 0 0 0 0 1 5 6 9 11 10 10 8 8 0 0 0 0 0 0 9 9 8 6 3; 0 0 0 0 0 0 0 0 0 3 8 9 9 10 13 11 11 10 10 10 9 6 10 9 12 9 10 6 6 1; 0 0 0 0 0 0 0 0 0 5 7 10 10 13 11 12 12 10 8 7 9 12 8 8 7 7 6 5 2 0; 0 0 0 0 0 0 0 0 0 6 8 6 9 11 14 12 9 8 9 10 9 9 9 9 6 6 4 2 0 0; 0 0 0 0 0 0 0 1 1 4 6 8 9 11 8 4 6 6 5 5 6 4 4 5 3 4 2 0 0 0]"
1.0;1.0;1.0;1.0;1.0;500;false;0.85;5;100;500;-1;5;(30, 30);5.0;157;"Int8[0 2 5 4 3 3 2 2 1 2 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 2 3 5 5 4 5 4 3 4 4 3 3 3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 2 3 3 4 6 5 6 4 5 5 6 5 5 5 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0; 1 4 3 4 4 4 6 4 7 4 7 5 7 5 7 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0; 2 2 2 4 4 4 4 6 5 7 5 6 6 6 6 6 5 3 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 1 1 3 3 3 4 5 4 4 7 6 7 5 6 4 4 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 1 2 1 2 2 2 2 4 4 5 6 5 5 4 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 1 0 0 0 1 0 2 2 2 5 4 4 4 3 4 3 1 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 3 5 4 4 4 3 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 5 5 4 3 2 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 6 4 5 4 2 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 6 6 4 4 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 6 5 4 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 5 6 5 5 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 6 5 4 6 3 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 6 6 5 5 4 2 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 5 7 5 4 3 3 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 4 6 5 5 4 3 1 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 1 4 5 5 5 5 5 4 4 1 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 1 3 3 6 5 6 5 5 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 2 3 4 4 7 7 4 3 0 0 0 0 0 0 0 0 0 0 0; 1 1 0 0 0 0 0 0 0 0 1 1 3 4 6 6 7 5 1 0 0 0 0 0 0 0 0 0 0 0; 3 5 5 0 0 0 0 0 0 0 0 2 3 4 4 7 6 4 2 0 0 0 0 0 0 0 0 0 0 0; 16 15 13 0 0 0 0 0 0 0 0 1 3 4 6 6 4 4 4 0 0 0 0 0 0 0 0 0 0 0; 34 30 31 0 0 0 0 0 0 0 0 0 1 5 7 6 6 4 3 0 0 0 0 0 0 0 0 0 0 0; 45 49 50 0 0 0 0 0 0 0 0 1 3 5 7 7 5 5 3 0 0 0 0 0 0 0 0 0 0 0; 54 59 59 0 0 0 0 0 0 1 1 3 4 4 5 5 5 3 3 1 0 0 0 0 0 0 0 0 0 0; 59 73 63 0 0 0 0 0 0 3 5 7 5 4 4 4 4 4 1 0 0 0 0 0 0 0 0 0 0 0; 60 68 64 0 0 0 0 0 0 5 6 6 4 5 4 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0; 58 73 73 48 21 30 34 27 12 5 6 6 7 5 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;1.0;1.0;1.0;500;false;0.85;5;100;500;-1;5;(30, 30);5.0;157;"Int8[0 0 0 2 3 4 4 4 4 4 6 6 6 4 5 5 7 6 6 5 6 6 5 4 5 7 11 8 2 3; 2 1 3 3 5 4 5 5 5 6 4 4 4 6 5 6 4 4 0 0 0 0 0 0 0 13 17 19 15 7; 4 3 5 5 6 5 6 5 5 5 5 4 5 5 6 5 5 3 0 0 0 0 0 0 0 22 24 28 23 14; 3 6 5 7 4 5 3 3 3 3 3 3 3 2 3 2 1 2 0 0 0 0 0 0 0 26 26 30 30 21; 3 3 5 6 5 4 2 1 0 1 2 1 2 1 0 0 1 0 0 0 0 0 0 0 0 29 34 38 33 29; 2 2 3 4 3 3 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 31 41 46 47 34; 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 48 49 40 36; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 7 16 24 39 46 38 28; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 3 5 9 12 21 27 40 32 31; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 5 5 8 10 14 21 33 35 26; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 4 6 6 10 8 15 20 20 21; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 4 6 5 0 0 0 0 0 0 10; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 6 4 6 0 0 0 0 0 0 9; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 5 6 4 0 0 0 0 0 0 8; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 6 4 4 0 0 0 0 0 0 8; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 3 4 4 5 3 0 0 0 0 0 0 7; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 4 5 5 4 4 3 4 0 0 0 0 0 0 4; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 6 5 5 3 4 1 0 0 2 4 5 7 8; 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 4 4 5 7 6 4 1 0 0 0 1 5 7 5 7; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 6 6 6 0 0 0 0 0 0 1 4 7 4 9; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 7 5 7 0 0 0 0 0 0 1 4 4 5 6; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 6 6 4 0 0 0 0 0 0 0 3 3 4 4; 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 5 5 4 0 0 0 0 0 0 0 3 2 3 4; 0 0 0 0 0 0 0 0 0 0 0 1 2 6 6 6 5 6 3 0 0 0 0 0 0 0 2 4 6 4; 0 0 0 0 0 0 0 0 0 0 0 2 5 6 7 8 6 5 5 0 0 0 0 0 0 2 2 4 4 6; 0 0 0 0 0 0 0 0 0 0 0 2 5 6 8 7 8 8 5 0 0 0 0 0 0 3 5 5 5 5; 0 0 0 0 0 0 0 0 0 0 0 1 4 6 7 9 9 6 4 4 3 3 5 5 6 5 6 6 4 5; 0 0 0 0 0 0 0 0 0 0 0 2 5 8 7 8 9 6 4 5 7 6 5 4 5 5 6 4 6 3; 0 0 0 0 0 0 0 0 0 0 0 2 2 6 6 8 6 6 5 6 5 6 5 6 4 5 4 5 3 4; 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 4 6 6 5 3 4 4 3 4 5 5 4 3 3 1]"
1.0;1.0;1.0;1.0;1.0;500;false;0.85;5;100;500;-1;5;(30, 30);5.0;157;"Int8[2 5 7 9 6 5 4 5 3 4 4 5 5 6 4 3 4 2 0 0 0 0 0 0 0 0 0 0 0 0; 3 3 5 5 7 5 6 3 5 4 6 4 6 5 6 6 5 3 0 0 0 0 0 0 0 0 0 0 0 0; 3 4 4 5 5 5 5 4 4 5 6 6 7 6 7 7 6 5 0 0 0 0 0 0 0 0 0 0 0 0; 3 3 3 3 3 3 4 4 3 4 4 4 5 9 9 8 5 5 0 0 0 0 0 0 0 0 0 0 0 0; 1 1 2 2 1 1 1 2 1 2 1 2 4 7 7 8 6 4 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 1 0 0 0 0 0 1 0 0 0 2 5 6 6 5 4 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 1 1 5 4 5 7 5 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 2 4 5 5 5 5 2 0 0 1 2 2 1 1 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 5 6 5 3 1 1 5 6 3 3 2 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 6 6 6 4 5 8 9 10 7 6 2 1 0 0 0; 0 0 0 0 0 0 0 0 0 1 0 0 0 1 5 8 6 6 7 8 12 14 11 8 3 3 1 0 0 0; 0 0 0 0 0 0 0 1 2 2 3 1 1 3 6 9 8 8 11 15 15 14 11 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 3 6 5 6 8 5 8 9 11 11 11 10 15 14 14 14 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 4 6 7 9 11 12 12 16 14 13 11 11 10 18 15 18 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 6 5 9 9 14 16 17 14 16 13 11 9 9 13 13 14 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 4 7 9 13 13 17 16 18 14 14 10 6 10 10 10 6 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 3 6 10 12 14 17 18 16 16 11 8 3 3 5 8 6 0 0 0 0 0 0 1; 0 0 0 0 0 0 0 5 6 7 10 10 14 18 17 13 9 4 2 0 5 6 6 3 6 10 16 16 12 12; 0 1 3 3 5 6 7 7 8 7 7 12 12 15 13 12 8 3 0 0 1 3 6 4 8 11 16 21 17 17; 1 2 5 5 6 5 7 7 8 6 9 9 13 13 13 7 7 2 1 0 0 0 0 0 0 13 16 22 17 18; 3 5 4 4 5 8 7 8 5 7 8 12 13 11 8 9 6 3 0 0 0 0 0 0 0 10 21 22 20 15; 3 5 3 0 0 0 0 0 0 6 7 9 10 10 10 8 4 2 0 0 0 0 0 0 0 8 14 21 17 15; 5 5 3 0 0 0 0 0 0 4 8 8 10 9 7 6 4 0 0 0 0 0 0 0 0 5 8 11 14 10; 5 5 5 0 0 0 0 0 0 4 6 7 7 9 6 3 2 2 3 0 0 0 0 0 0 4 6 5 5 7; 5 4 6 0 0 0 0 0 0 3 5 7 9 7 8 6 6 6 6 0 0 0 0 0 0 6 5 4 5 3; 3 4 5 0 0 0 0 0 0 3 6 6 8 9 7 6 8 8 7 0 0 0 0 0 0 5 5 5 4 3; 3 3 3 0 0 0 0 0 0 4 6 5 7 7 7 9 8 6 5 8 5 2 3 4 3 5 4 5 3 3; 2 3 2 0 0 0 0 0 0 3 4 7 6 7 3 3 8 8 7 5 5 5 6 4 4 4 4 4 3 1; 2 1 1 0 0 0 0 0 0 1 3 3 3 5 5 5 5 6 6 5 5 5 5 6 5 4 3 4 1 0; 0 1 0 0 0 0 0 0 0 0 1 1 2 2 2 0 2 3 4 4 5 5 4 4 4 4 4 1 0 0]"
1.0;1.0;1.0;1.0;1.0;500;false;0.85;5;100;500;-1;5;(30, 30);5.0;157;"Int8[4 6 6 5 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 4 4 4 4 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 6 5 5 3 4 4 5 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 5 5 5 6 5 4 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 3 4 6 8 7 5 4 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 3 8 7 7 6 4 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 3 5 4 6 6 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 4 5 6 5 5 5 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 4 6 5 5 4 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 4 5 4 5 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 5 4 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 7 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1; 5 0 0 0 0 0 0 1 2 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2; 5 0 0 0 0 0 0 3 3 3 3 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3; 5 0 0 0 0 0 0 4 5 4 4 3 4 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 3; 6 3 3 5 7 8 6 7 5 5 4 6 3 3 1 0 0 0 0 0 0 0 0 0 0 0 1 4 5 3; 5 4 5 5 7 6 6 5 7 7 7 5 4 3 2 0 0 0 0 0 0 0 0 0 0 0 2 5 6 4; 3 4 5 6 5 5 5 6 6 9 7 5 4 4 1 1 0 0 0 0 0 0 0 0 0 0 3 5 5 6; 4 5 4 0 0 0 0 0 0 6 6 4 5 4 2 0 0 0 0 0 0 0 0 0 0 1 2 5 5 6; 13 10 9 0 0 0 0 0 0 4 6 5 4 3 2 0 0 0 0 0 0 0 0 0 0 1 3 5 4 7; 17 16 16 0 0 0 0 0 0 5 5 5 5 3 0 0 0 0 0 0 0 0 0 0 0 0 4 5 6 5; 18 20 17 0 0 0 0 0 0 4 6 7 5 1 0 0 1 1 1 0 0 0 0 0 0 1 3 6 5 5; 20 23 22 0 0 0 0 0 0 8 6 8 6 2 1 3 3 4 5 0 0 0 0 0 0 2 5 5 6 4; 24 24 23 0 0 0 0 0 0 21 12 10 8 6 4 3 4 5 6 5 5 4 4 4 6 5 5 6 4 5; 19 24 22 0 0 0 0 0 0 23 29 24 12 9 8 6 5 5 4 6 5 6 5 6 6 6 5 4 5 3; 22 21 19 0 0 0 0 0 0 26 28 23 13 8 7 5 5 5 6 5 6 5 6 5 5 4 5 4 4 4; 15 20 24 31 25 28 32 37 36 27 30 28 21 8 5 6 6 6 5 4 4 6 4 4 4 5 4 4 3 1]"
