alpha_state;k_state;alpha_action;k_action;exploration_constant;n_iterations;keep_tree;discount;nb_robots;depth;max_steps;num_map;extent;nb_blocs;nb_steps;cov
1.0;1.0;1.0;1.0;500.0;1500;false;0.85;3;50;100;2;(0, 0);0;56;"Int8[19 22 27 24 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 24 27 38 24 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 28 34 39 26 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 24 22 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 25 25 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 24 24 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 19 17 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 16 16 17 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 14 13 15 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 8 5 9 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;1.0;1.0;500.0;1500;false;0.85;3;50;100;2;(0, 0);0;56;"Int8[0 1 1 1 0 0 1 0 0 0 0 0 0 2 3 4 5 3 3 2; 2 2 2 0 0 0 1 0 0 0 0 1 0 2 4 6 5 4 3 1; 2 2 3 0 0 0 1 2 2 1 1 2 0 2 3 5 6 5 0 0; 2 2 2 0 0 0 2 2 2 2 2 2 0 0 0 0 6 5 0 0; 2 2 2 0 0 0 2 2 0 0 2 2 0 0 0 0 6 6 0 0; 2 2 2 0 0 0 2 2 0 0 1 2 0 4 5 6 7 5 0 0; 3 2 2 0 0 0 2 2 0 0 3 3 0 6 6 7 7 4 0 0; 2 2 2 1 1 0 3 3 3 3 5 3 0 5 9 9 7 7 5 2; 1 1 2 1 1 0 2 3 3 4 4 5 0 6 8 8 8 5 4 2; 1 1 2 2 0 0 0 0 0 5 4 3 0 6 7 7 6 4 4 4; 1 2 2 2 2 2 2 3 3 5 6 8 8 9 7 0 0 5 5 4; 0 0 2 1 1 2 2 2 3 4 6 8 10 9 9 0 0 3 5 3; 0 0 1 1 1 2 3 2 3 4 4 6 8 9 8 0 0 3 3 4; 0 0 0 0 1 0 0 0 0 0 0 0 0 6 7 0 0 4 4 4; 0 0 0 0 0 0 0 0 0 0 0 0 0 6 7 0 0 6 5 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 5 9 8 6 6 6 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 10 8 6 6 5; 0 0 0 0 0 0 0 0 0 0 0 0 0 7 14 13 9 6 6 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 7 11 13 9 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 7 9 8 8 0 0 0]"
1.0;1.0;1.0;1.0;500.0;1500;false;0.85;3;50;100;2;(0, 0);0;56;"Int8[1 2 2 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0; 2 2 2 0 0 0 3 0 0 0 0 3 0 0 0 0 0 0 0 0; 2 2 2 1 0 0 6 4 4 4 4 3 0 0 0 0 0 0 0 0; 2 2 2 0 0 0 6 7 5 5 5 5 0 0 0 0 0 0 0 0; 1 1 3 0 0 0 7 6 0 0 3 3 0 0 0 0 0 0 0 0; 1 2 1 0 0 0 7 6 0 0 2 3 0 0 0 0 0 0 0 0; 2 3 3 0 0 0 8 7 0 0 2 3 0 0 0 0 0 0 0 0; 2 3 2 2 2 0 7 7 7 5 2 2 0 0 0 0 0 0 0 0; 3 2 1 2 2 0 5 4 6 6 3 2 0 0 0 0 0 0 0 0; 1 2 2 2 0 0 0 0 0 2 2 2 0 0 0 0 0 0 0 0; 0 2 3 4 3 3 2 2 2 2 2 2 1 0 0 0 0 0 0 0; 1 1 2 3 3 3 3 2 2 1 1 2 0 0 0 0 0 0 0 0; 0 2 2 3 4 4 2 3 2 1 1 1 0 0 0 0 0 0 0 0; 0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 12 12 0 4 3 0 4 3 3 3 4 2 0 0 0 0 0 0 0 0; 15 12 0 3 4 0 4 4 5 4 4 3 0 0 0 0 0 0 0 0; 16 16 0 6 5 0 4 5 5 5 4 2 0 0 0 0 0 0 0 0; 18 19 14 7 7 6 4 4 0 0 3 3 0 0 0 0 0 0 0 0; 12 16 12 5 8 6 3 3 0 0 3 3 0 0 0 0 0 0 0 0; 8 9 8 7 6 4 3 2 0 0 2 2 0 0 0 0 0 0 0 0]"
