alpha_state;k_state;alpha_action;k_action;exploration_constant;n_iterations;keep_tree;discount;nb_robots;depth;max_steps;num_map;extent;nb_blocs;nb_steps;cov
1.0;1.0;1.0;1.0;500.0;1500;false;0.85;3;50;100;2;(0, 0);0;40;"Int8[1 2 2 2 1 0 0 0 0 0 0 0 0 3 5 6 5 3 1 1; 2 2 2 1 1 0 0 0 0 0 0 0 0 5 5 7 4 4 1 1; 2 2 2 1 1 0 0 0 0 0 0 0 0 4 5 7 6 4 0 0; 3 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0; 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 0; 1 1 2 0 0 0 0 0 0 0 0 0 0 1 1 5 4 5 0 0; 2 2 2 0 0 0 0 0 0 0 0 0 0 2 3 4 5 5 0 0; 2 2 2 1 1 0 0 0 0 0 1 0 0 3 2 4 4 5 2 1; 1 1 2 1 1 0 0 0 1 1 1 1 0 3 4 4 4 4 3 2; 1 1 2 2 0 0 0 0 0 1 1 1 0 2 2 4 2 5 2 3; 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 6 4 4; 0 0 2 1 1 2 2 1 2 2 1 2 2 1 1 0 0 5 4 6; 0 0 1 1 1 2 2 1 2 2 1 2 2 2 1 0 0 6 7 9; 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 10 12 10; 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 15 12 11; 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 7 9 17 15 13; 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 8 7 15 15 12; 0 0 0 0 0 0 0 0 0 0 0 0 0 3 7 8 10 12 11 8; 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 5 7 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 1 0 0 0]"
1.0;1.0;1.0;1.0;500.0;1500;false;0.85;3;50;100;2;(0, 0);0;40;"Int8[3 5 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 4 6 6 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 5 5 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 2 2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 1 2 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 1 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 14 13 0 2 2 0 2 3 4 5 5 3 0 0 0 0 0 0 0 0; 15 16 0 2 2 0 3 3 3 5 5 4 0 0 0 0 0 0 0 0; 19 19 0 2 2 0 4 4 5 5 5 4 0 0 0 0 0 0 0 0; 14 16 10 4 5 5 4 4 0 0 4 5 0 0 0 0 0 0 0 0; 8 8 6 4 5 5 4 3 0 0 3 4 0 0 0 0 0 0 0 0; 4 4 4 3 4 3 3 2 0 0 1 2 0 0 0 0 0 0 0 0]"
1.0;1.0;1.0;1.0;500.0;1500;false;0.85;3;50;100;2;(0, 0);0;40;"Int8[9 11 10 8 5 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0; 12 13 15 9 5 0 3 0 0 0 0 4 0 0 0 0 0 0 0 0; 13 15 17 10 5 0 4 4 4 6 6 4 0 0 0 0 0 0 0 0; 10 11 13 0 0 0 5 5 6 6 5 5 0 0 0 0 0 0 0 0; 10 10 10 0 0 0 5 4 0 0 5 5 0 0 0 0 0 0 0 0; 11 9 8 0 0 0 2 2 0 0 5 4 0 0 0 0 0 0 0 0; 8 7 7 0 0 0 1 2 0 0 4 5 0 0 0 0 0 0 0 0; 4 5 10 7 4 0 1 2 2 3 4 4 0 0 0 0 0 0 0 0; 4 6 9 8 5 0 1 3 2 2 4 3 0 0 0 0 0 0 0 0; 3 3 8 7 0 0 0 0 0 3 3 3 0 0 0 0 0 0 0 0; 1 2 4 2 2 2 2 2 2 3 3 3 1 0 0 0 0 0 0 0; 1 1 1 2 2 1 2 2 1 2 2 0 0 0 0 0 0 0 0 0; 1 1 1 2 2 1 2 2 1 1 1 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
