alpha_state;k_state;alpha_action;k_action;exploration_constant;n_iterations;keep_tree;discount;nb_robots;depth;max_steps;num_map;extent;nb_blocs;begin_zone;nb_steps;cov
1.0;1.0;2.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;110;"Int8[5 5 6 6 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 6 8 7 6 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 9 11 10 7 4 4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 13 13 13 6 7 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 13 15 16 9 7 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 9 15 15 12 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 11 13 14 12 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 18 14 15 11 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 18 14 15 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 15 11 10 4 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 8 13 11 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1; 11 12 11 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 3 1; 8 11 11 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 1 3 5 3 4; 11 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 3 1 1 2 5 7 9 8 5; 9 7 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 4 3 2 3 9 9 11 8 8; 8 7 6 3 0 0 0 1 1 1 2 0 0 0 0 0 0 0 0 6 5 5 4 5 6 7 11 11 12 9; 7 7 6 3 1 1 3 2 4 6 6 4 4 5 6 7 5 6 8 9 8 8 3 5 7 8 15 14 10 10; 6 8 10 6 3 4 4 5 8 7 7 6 7 5 5 4 7 9 11 11 9 7 8 7 8 13 15 17 13 8; 9 9 10 9 8 6 6 6 6 7 7 7 6 6 5 5 7 8 9 9 10 8 8 8 9 13 15 15 10 8; 10 11 11 11 8 7 7 7 6 7 5 5 6 5 2 3 4 7 6 6 7 8 5 10 9 11 10 13 9 8; 11 14 13 11 7 8 5 0 0 0 0 0 0 0 1 1 2 3 4 6 7 6 6 5 9 11 12 9 10 6; 11 13 14 11 10 6 4 0 0 0 0 0 0 0 0 0 1 2 3 5 5 5 5 5 6 12 10 9 9 6; 8 10 11 12 8 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 3 5 6 9 7 6 7; 6 7 9 6 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 3 4 6 6 6; 5 7 6 5 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 6 6 6; 4 3 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 6 5 4; 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 5 3 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]"
1.0;1.0;2.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;110;"Int8[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 2 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 3 3 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 3 3 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 3 4 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 4 5 6 5 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 2 6 5 6 4 4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 4 6 5 5 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 4 5 6 5 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 5 6 4 6 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 2 5 5 6 5 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 2 5 6 5 5 4 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 2 5 4 7 5 4 1 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 3 5 5 5 6 4 4 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 2 4 4 6 6 8 4 4 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 2 3 5 4 7 6 7 4 6 4 6 4 6 4 5 3 1 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 3 3 6 4 5 4 7 5 7 4 5 5 7 5 6 3 1 0 0 0 0 0 0 0 0 0 0 0; 0 0 1 4 3 4 4 4 4 6 4 5 6 6 6 6 5 5 3 0 0 0 0 0 0 0 0 0 0 0; 1 0 0 1 3 3 3 3 3 2 2 2 5 7 7 7 5 5 3 1 0 0 0 0 0 0 0 0 0 0; 6 1 1 0 1 2 1 0 0 0 0 0 0 7 7 8 6 6 2 1 0 0 0 0 0 0 0 0 0 0; 7 6 7 0 0 1 1 0 0 0 0 0 0 4 8 6 5 4 3 0 0 0 0 0 0 0 0 0 0 0; 12 10 8 3 3 1 2 0 0 0 0 0 0 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 18 18 17 11 4 4 5 0 0 0 0 0 0 5 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 26 30 30 12 8 12 12 0 0 0 0 0 0 5 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 25 31 33 24 20 20 20 18 15 11 7 4 4 4 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 24 26 33 34 31 32 30 26 19 11 6 6 6 5 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 28 28 36 29 37 36 33 31 30 17 8 5 4 3 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 25 26 26 27 32 33 30 33 27 16 5 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 16 13 13 23 30 30 26 24 20 12 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;2.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;110;"Int8[0 0 0 0 0 4 5 6 8 6 8 7 10 8 7 5 8 14 27 38 44 38 31 32 23 12 4 5 3 1; 0 0 0 1 1 3 4 3 0 0 0 0 0 0 0 0 7 16 26 44 60 55 47 41 25 12 7 6 7 3; 0 0 1 3 3 4 4 3 0 0 0 0 0 0 0 0 7 14 34 56 69 68 66 51 24 14 11 12 9 8; 0 0 1 2 3 3 4 3 0 0 0 0 0 0 0 0 5 14 32 47 51 56 56 35 23 14 17 11 12 9; 0 0 0 0 3 3 3 4 0 0 0 0 0 0 0 0 3 15 28 38 33 39 40 32 18 15 17 16 12 8; 0 0 0 2 2 2 3 1 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 15 15 12 11; 0 0 1 1 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 15 12 9; 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 9 10 7; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 7 4; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 4 4 4; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 1; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;2.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;110;"Int8[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 1 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 2 3 3 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 1 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 2 2 2 3 3 4 4 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 2 3 3 5 4 4 3 5 4 3 4 5 5 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 1 3 3 3 5 4 5 5 6 6 5 5 4 5 4 4 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 2 4 3 4 5 6 6 5 5 5 6 5 5 3 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 1 4 4 4 4 4 5 6 6 6 5 5 3 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 1 3 3 4 5 5 4 4 5 5 5 8 7 8 6 10 7 10 6 5 0 0 0 0; 0 0 0 0 0 0 0 1 3 2 2 0 0 0 0 0 0 0 0 7 10 11 10 6 7 3 1 0 0 0; 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 5 10 11 11 7 8 4 2 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 8 4 5 6 3 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 6 5 5 3 2 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 6 5 5 4 2 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 6 4 5 1 1 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 5 5 6 5 2 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 5 6 5 5 3 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 6 4 6 5 2 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 5 6 4 4 1 1 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 6 5 4 3 2 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 7 5 3 1 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 4 6 6 7 4 1 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 3 0 0 0 0 0 3 4 4 7 6 4 2 1 0; 0 0 0 0 0 0 0 0 0 0 1 2 6 13 11 8 0 0 0 0 0 3 5 7 6 4 4 4 2 0; 0 0 0 0 0 0 0 0 0 0 2 7 17 16 22 19 0 0 0 0 0 4 6 8 8 7 4 3 1 1; 0 0 0 0 0 0 0 0 0 1 4 14 18 23 33 36 0 0 0 0 0 12 10 8 7 5 5 3 2 0; 0 0 0 0 0 0 0 0 0 0 9 13 18 23 37 45 46 42 37 33 27 21 9 4 5 6 4 3 1 0; 0 0 0 0 0 0 0 0 0 3 4 9 16 32 40 43 40 44 42 33 23 17 13 9 5 3 3 1 0 0]"
1.0;1.0;2.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;110;"Int8[56 44 61 57 39 20 13 5 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 59 66 70 56 33 20 15 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 65 67 78 59 31 18 12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 44 63 63 48 26 15 11 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 33 36 39 22 20 7 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 22 23 23 9 7 6 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 17 9 11 8 4 6 10 12 10 10 15 14 12 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 4 7 5 5 5 6 10 14 14 17 17 15 10 7 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 0 4 4 4 4 8 13 19 18 19 13 9 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 1 3 5 5 4 7 9 16 12 12 6 6 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 1 3 3 5 5 5 8 8 6 7 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 1 3 3 4 5 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 1 2 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
