alpha_state;k_state;alpha_action;k_action;exploration_constant;n_iterations;keep_tree;discount;nb_robots;depth;max_steps;num_map;extent;nb_blocs;begin_zone;nb_steps;cov
1.0;1.0;3.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;105;"Int8[0 3 8 11 12 12 11 10 7 7 5 5 5 6 10 24 41 48 44 31 38 44 37 18 7 6 7 4 3 1; 1 3 11 13 13 14 15 9 8 7 7 5 4 5 12 16 25 19 0 0 0 0 0 0 0 0 3 5 3 2; 1 4 11 12 13 13 14 11 7 5 5 6 7 6 8 15 25 15 0 0 0 0 0 0 0 0 4 5 4 2; 2 5 7 10 9 13 12 8 5 6 5 5 5 6 7 12 11 14 0 0 0 0 0 0 0 0 4 6 5 4; 0 1 7 9 7 8 7 6 4 4 3 3 2 3 4 4 7 10 0 0 0 0 0 0 0 0 7 4 5 4; 0 0 4 4 5 2 2 1 1 1 1 0 0 0 3 5 7 6 0 0 0 0 0 0 0 0 6 5 5 3; 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 6 8 8 6 6 7 8 7 7 8 7 7 4 4 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 6 5 7 10 10 7 4 6 5 8 5 6 3 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 4 4 4 4 3 1; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 4 3 3 1 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;3.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;105;"Int8[47 50 55 65 66 51 38 27 21 14 11 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 55 60 67 73 56 46 37 32 21 15 7 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 56 63 70 65 51 40 37 33 23 14 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 34 43 49 40 29 27 22 21 14 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 20 27 31 27 17 13 12 7 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 13 14 16 13 6 5 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 7 9 6 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;3.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;105;"Int8[0 0 1 2 3 3 3 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 1 1 2 3 4 4 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 2 2 3 3 4 4 4 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 2 3 4 5 4 4 3 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 1 3 4 4 5 4 5 4 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 2 4 3 3 4 5 4 5 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 5 4 4 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 4 6 5 5 4 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 4 5 5 6 5 5 2 0 0 0 0 0 0 0 0 1 1 0 1 0; 0 0 0 0 0 0 0 0 0 0 4 5 4 5 5 5 4 0 0 0 0 0 0 0 3 2 3 5 2 1; 0 0 0 0 0 0 0 0 0 0 1 2 5 6 6 4 5 0 0 0 0 0 0 0 3 5 6 6 5 3; 0 0 0 0 0 0 0 0 0 0 0 1 4 5 6 5 5 0 0 0 0 0 0 0 3 7 8 8 6 6; 0 0 0 0 0 0 0 0 0 0 0 0 1 4 5 4 5 0 0 0 0 0 0 0 6 9 11 9 8 6; 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 6 5 7 5 6 5 5 4 5 7 12 13 12 9 7; 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 4 4 4 0 0 0 0 0 0 0 12 9 12 9; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 4 3 0 0 0 0 0 0 0 10 11 11 8; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 2 0 0 0 0 0 0 0 10 10 11 6; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 3 2 0 0 0 0 0 0 0 10 12 9 7; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 5 5 0 0 0 0 0 0 0 13 16 11 8; 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 4 6 6 6 5 7 8 10 11 13 20 18 15 12; 0 0 0 0 0 0 0 0 0 0 0 0 1 3 6 6 6 5 5 5 7 9 16 13 17 22 21 17 17 13; 0 0 0 0 0 0 0 0 0 0 0 0 3 4 5 4 5 7 8 6 5 9 15 20 25 25 21 17 15 12; 0 0 0 0 0 0 0 0 0 0 0 2 3 5 4 0 0 0 0 0 0 0 16 19 22 22 22 22 15 11; 0 0 0 0 0 0 0 0 0 0 0 3 4 5 4 0 0 0 0 0 0 0 14 19 21 23 21 18 18 9; 0 0 0 0 0 0 0 0 0 0 1 2 5 4 5 0 0 0 0 0 0 0 14 16 19 19 16 18 11 7; 0 0 0 0 0 0 0 0 0 0 1 2 4 4 5 0 0 0 0 0 0 0 10 16 16 12 12 10 7 9; 0 0 0 0 0 0 0 0 0 0 0 3 3 4 4 0 0 0 0 0 0 0 11 8 9 11 10 6 6 6; 0 0 0 0 0 0 0 0 0 0 0 1 3 5 5 5 4 5 5 6 5 6 6 7 7 8 7 5 6 4; 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 4 5 5 6 5 5 4 4 4 5 4 5 5 3 3; 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 4 5 5 5 5 4 3 3 1 2 1 2 2 1]"
1.0;1.0;3.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;105;"Int8[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 3 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 5 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 4 5 5 4 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 2 5 5 4 5 0 0 0 0 0 1 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 3 6 4 4 0 0 0 0 0 3 4 3 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 1 4 6 6 5 0 0 0 0 0 4 4 6 5 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 4 6 9 9 4 4 3 3 4 6 7 6 7 5 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 5 7 10 11 11 5 4 5 6 9 8 10 10 12 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0; 4 7 5 12 14 11 8 8 6 6 8 12 11 15 15 13 9 7 3 1 0 0 0 0 0 0 0 0 0 0; 7 9 11 10 14 13 12 12 10 8 6 8 15 19 19 15 10 7 4 0 0 0 0 0 0 0 0 0 0 0; 6 9 12 13 16 11 12 11 11 4 7 10 16 16 17 14 15 8 5 0 0 0 0 0 0 0 0 0 0 0; 7 8 12 12 16 14 10 9 9 8 7 9 14 15 15 15 15 9 4 0 0 0 0 0 0 0 0 0 0 0; 9 12 8 13 12 11 9 10 8 7 4 7 12 13 11 15 13 6 1 0 0 0 0 0 0 0 0 0 0 0; 11 13 13 8 9 9 8 7 8 6 6 6 8 10 10 10 6 3 0 0 0 0 0 0 0 0 0 0 0 0; 9 11 10 12 6 6 5 5 5 6 7 6 7 6 7 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0; 8 10 14 9 8 4 5 5 7 7 7 8 6 4 5 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0; 11 11 14 12 8 4 5 8 7 8 8 8 6 5 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 9 9 13 10 7 6 10 6 8 8 9 8 7 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 8 8 10 9 12 10 10 8 10 9 7 7 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 6 8 9 10 11 11 8 11 10 10 6 5 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 4 4 9 11 7 10 9 11 11 13 8 6 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 4 6 9 8 13 10 11 9 11 9 6 6 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 6 8 9 12 11 11 11 9 6 4 6 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 5 6 7 10 8 9 5 8 6 6 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 5 7 6 8 6 6 4 7 5 5 4 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1.0;1.0;3.0;1.0;20.0;2500;false;0.85;5;100;500;-1;(30, 30);5;5;105;"Int8[11 18 28 23 19 16 10 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 22 33 37 38 34 26 15 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 36 45 50 55 45 34 23 12 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 44 56 62 67 57 44 29 14 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 45 58 77 78 63 44 28 14 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 49 50 69 65 50 30 21 10 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 37 46 58 50 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 27 36 39 34 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 18 24 23 20 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 14 16 13 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 9 7 6 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
